–	barrennig verr
🛷	luj, treinell
🥌	krogad, maen curling, match, sport
🎯	gwenn, ober mil
🪀	cʼhoariell, pun-dibun
🪁	nijal, sarpant-nij
🔫	arm, pistolenn
🎱	8, bilhard, bilhard saoz, boul
🔮	boulenn strink, strink
🪄	gwialenn-hud, hud, sorser, sorserez
🎮️	cʼhoari, cʼhoari video
🕹️	cʼhoari, cʼhoari video, lanker cʼhoari
🎲	cʼhoari diñsoù, diñs
🧩	cʼhoari, miltamm
🧸	arzh-feur, cʼhoari, cʼhoariell
🪅	fest, gouel, piñata
🪆	matriochka, rusian
♠️	kartenn, pikez, pikezenn
♥️	kartenn, keur, keurenn
♦️	karo, karoenn, kartenn
♣️	kartenn, treflez, treflezenn
♟️	echedoù, pezh, pezh echedoù
🃏	joker, kartenn joker
🎭️	arvestoù bev, arz, maskl
🖼️	arz, skeudenn, skeudenn sterniet, stern
🎨	arz, pladenn, pladennad livioù
🧵	kanell, kanellad neud, nadoz, neud
🪡	broderezh, gwriat, nadoz, nadoz da wriat
🧶	nadoz, neud, pellenn, pellenn neud
🪢	kordenn, skoulm
👓️	daoulagad, lunedoù, lunedoù gwelet
🕶️	daoulagad, lunedoù, lunedoù-heol
🥽	daoulagad, lunedoù, lunedoù-kouronkañ
🥼	doktor, flotantenn wenn, skiantour
🦺	jiletenn, jiletenn surentez, surentez
👔	dilhad, kravatenn
👕	dilhad, tee-shirt
👖	dilhad, jeanʼs
🧣	dilhad, skerb
🧤	dilhad, manegoù
🧥	chupenn, dilhad, mantell
🧦	dilhad, loeroù, treid
👗	dilhad, sae
👘	dilhad, kimono
🥻	dilhad, sari
🩱	dilhad-kouronkañ, sae-gouronkañ, sae-gouronkañ unpezh, unpezh
🩲	dilhad-dindan, dilhad-kouronkañ, slip, unpezh
🩳	bragoù-berr, dilhad-kouronkañ, unpezh
👙	bikini, dilhad-kouronkañ
👚	dilhad, dilhad mercʼhed, mercʼhed
👛	doug-moneiz, moneiz
