،	arabic, arabic comma, comma
🤜🏾	fist, medium-dark skin, right-facing fist, right-facing fist: medium-dark skin, rightwards
🤜🏿	dark skin, fist, right-facing fist, right-facing fist: dark skin, rightwards
👏🏻	Fair skin, clap, clapping hands, clapping hands: Fair skin, hand
👏🏼	clap, clapping hands, clapping hands: medium-fair skin, hand, medium-fair skin
👏🏽	clap, clapping hands, clapping hands: medium skin, hand, medium skin
👏🏾	clap, clapping hands, clapping hands: medium-dark skin, hand, medium-dark skin
👏🏿	clap, clapping hands, clapping hands: dark skin, dark skin, hand
🙌	celebration, gesture, hand, hooray, khush hokar dono haath uthaana, raised
🙌🏻	Fair skin, celebration, gesture, hand, hooray, khush hokar dono haath uthaana, khush hokar dono haath uthaana: Fair skin, raised
🙌🏼	celebration, gesture, hand, hooray, khush hokar dono haath uthaana, khush hokar dono haath uthaana: medium-fair skin, medium-fair skin, raised
🙌🏽	celebration, gesture, hand, hooray, khush hokar dono haath uthaana, khush hokar dono haath uthaana: medium skin, medium skin, raised
🙌🏾	celebration, gesture, hand, hooray, khush hokar dono haath uthaana, khush hokar dono haath uthaana: medium-dark skin, medium-dark skin, raised
🙌🏿	celebration, dark skin, gesture, hand, hooray, khush hokar dono haath uthaana, khush hokar dono haath uthaana: dark skin, raised
🫶	haathon se bana heart, heart hands, love
🫶🏻	Fair skin, haathon se bana heart, haathon se bana heart: Fair skin, heart hands, love
🫶🏼	haathon se bana heart, haathon se bana heart: medium-fair skin, heart hands, love, medium-fair skin
🫶🏽	haathon se bana heart, haathon se bana heart: medium skin, heart hands, love, medium skin
🫶🏾	haathon se bana heart, haathon se bana heart: medium-dark skin, heart hands, love, medium-dark skin
🫶🏿	dark skin, haathon se bana heart, haathon se bana heart: dark skin, heart hands, love
👐🏻	Fair skin, hand, open, open hands, open hands: Fair skin
👐🏼	hand, medium-fair skin, open, open hands, open hands: medium-fair skin
👐🏽	hand, medium skin, open, open hands, open hands: medium skin
👐🏾	hand, medium-dark skin, open, open hands, open hands: medium-dark skin
👐🏿	dark skin, hand, open, open hands, open hands: dark skin
🤲	palms ko eksaath oopar karna, prayer
🤲🏻	Fair skin, palms ko eksaath oopar karna, palms ko eksaath oopar karna: Fair skin, prayer
🤲🏼	medium-fair skin, palms ko eksaath oopar karna, palms ko eksaath oopar karna: medium-fair skin, prayer
🤲🏽	medium skin, palms ko eksaath oopar karna, palms ko eksaath oopar karna: medium skin, prayer
🤲🏾	medium-dark skin, palms ko eksaath oopar karna, palms ko eksaath oopar karna: medium-dark skin, prayer
🤲🏿	dark skin, palms ko eksaath oopar karna, palms ko eksaath oopar karna: dark skin, prayer
🤝🏻	Fair skin, agreement, hand, handshake, handshake: Fair skin, meeting, shake
🤝🏼	agreement, hand, handshake, handshake: medium-fair skin, medium-fair skin, meeting, shake
🤝🏽	agreement, hand, handshake, handshake: medium skin, medium skin, meeting, shake
🤝🏾	agreement, hand, handshake, handshake: medium-dark skin, medium-dark skin, meeting, shake
🤝🏿	agreement, dark skin, hand, handshake, handshake: dark skin, meeting, shake
🙏	ask, hand, high 5, high five, namaste karna, please, pray, thanks
🙏🏻	Fair skin, ask, hand, high 5, high five, namaste karna, namaste karna: Fair skin, please, pray, thanks
🙏🏼	ask, hand, high 5, high five, medium-fair skin, namaste karna, namaste karna: medium-fair skin, please, pray, thanks
🙏🏽	ask, hand, high 5, high five, medium skin, namaste karna, namaste karna: medium skin, please, pray, thanks
🙏🏾	ask, hand, high 5, high five, medium-dark skin, namaste karna, namaste karna: medium-dark skin, please, pray, thanks
🙏🏿	ask, dark skin, hand, high 5, high five, namaste karna, namaste karna: dark skin, please, pray, thanks
✍️	haath, likhna, likhta hua haath
✍🏻	Fair skin, haath, likhna, likhta hua haath, likhta hua haath: Fair skin
✍🏼	haath, likhna, likhta hua haath, likhta hua haath: medium-fair skin, medium-fair skin
✍🏽	haath, likhna, likhta hua haath, likhta hua haath: medium skin, medium skin
✍🏾	haath, likhna, likhta hua haath, likhta hua haath: medium-dark skin, medium-dark skin
✍🏿	dark skin, haath, likhna, likhta hua haath, likhta hua haath: dark skin
💅🏻	Fair skin, care, cosmetics, manicure, nail, nail polish: Fair skin, polish
💅🏼	care, cosmetics, manicure, medium-fair skin, nail, nail polish: medium-fair skin, polish
💅🏽	care, cosmetics, manicure, medium skin, nail, nail polish: medium skin, polish
💅🏾	care, cosmetics, manicure, medium-dark skin, nail, nail polish: medium-dark skin, polish
💅🏿	care, cosmetics, dark skin, manicure, nail, nail polish: dark skin, polish
🤳🏻	Fair skin, camera, phone, selfie, selfie: Fair skin
🤳🏼	camera, medium-fair skin, phone, selfie, selfie: medium-fair skin
🤳🏽	camera, medium skin, phone, selfie, selfie: medium skin
🤳🏾	camera, medium-dark skin, phone, selfie, selfie: medium-dark skin
🤳🏿	camera, dark skin, phone, selfie, selfie: dark skin
💪🏻	Fair skin, biceps, comic, flex, flexed biceps, flexed biceps: Fair skin, muscle
💪🏼	biceps, comic, flex, flexed biceps, flexed biceps: medium-fair skin, medium-fair skin, muscle
💪🏽	biceps, comic, flex, flexed biceps, flexed biceps: medium skin, medium skin, muscle
💪🏾	biceps, comic, flex, flexed biceps, flexed biceps: medium-dark skin, medium-dark skin, muscle
💪🏿	biceps, comic, dark skin, flex, flexed biceps, flexed biceps: dark skin, muscle
🦵🏻	Fair skin, kick, leg, leg: Fair skin, limb
🦵🏼	kick, leg, leg: medium-fair skin, limb, medium-fair skin
🦵🏽	kick, leg, leg: medium skin, limb, medium skin
🦵🏾	kick, leg, leg: medium-dark skin, limb, medium-dark skin
🦵🏿	dark skin, kick, leg, leg: dark skin, limb
🦶🏻	Fair skin, foot, foot: Fair skin, kick, stomp
🦶🏼	foot, foot: medium-fair skin, kick, medium-fair skin, stomp
🦶🏽	foot, foot: medium skin, kick, medium skin, stomp
🦶🏾	foot, foot: medium-dark skin, kick, medium-dark skin, stomp
🦶🏿	dark skin, foot, foot: dark skin, kick, stomp
👂🏻	Fair skin, body, ear, ear: Fair skin
👂🏼	body, ear, ear: medium-fair skin, medium-fair skin
👂🏽	body, ear, ear: medium skin, medium skin
👂🏾	body, ear, ear: medium-dark skin, medium-dark skin
👂🏿	body, dark skin, ear, ear: dark skin
🦻	accessibility, hearing aid laga kaan, sunne mein problem
🦻🏻	Fair skin, accessibility, hearing aid laga kaan, hearing aid laga kaan: Fair skin, sunne mein problem
🦻🏼	accessibility, hearing aid laga kaan, hearing aid laga kaan: medium-fair skin, medium-fair skin, sunne mein problem
🦻🏽	accessibility, hearing aid laga kaan, hearing aid laga kaan: medium skin, medium skin, sunne mein problem
🦻🏾	accessibility, hearing aid laga kaan, hearing aid laga kaan: medium-dark skin, medium-dark skin, sunne mein problem
🦻🏿	accessibility, dark skin, hearing aid laga kaan, hearing aid laga kaan: dark skin, sunne mein problem
👃🏻	Fair skin, body, nose, nose: Fair skin
👃🏼	body, medium-fair skin, nose, nose: medium-fair skin
👃🏽	body, medium skin, nose, nose: medium skin
👃🏾	body, medium-dark skin, nose, nose: medium-dark skin
👃🏿	body, dark skin, nose, nose: dark skin
👶🏻	Fair skin, baby, baby: Fair skin, young
👶🏼	baby, baby: medium-fair skin, medium-fair skin, young
👶🏽	baby, baby: medium skin, medium skin, young
👶🏾	baby, baby: medium-dark skin, medium-dark skin, young
👶🏿	baby, baby: dark skin, dark skin, young
🧒🏻	Fair skin, child, child: Fair skin, gender-neutral, unspecified gender, young
🧒🏼	child, child: medium-fair skin, gender-neutral, medium-fair skin, unspecified gender, young
🧒🏽	child, child: medium skin, gender-neutral, medium skin, unspecified gender, young
🧒🏾	child, child: medium-dark skin, gender-neutral, medium-dark skin, unspecified gender, young
🧒🏿	child, child: dark skin, dark skin, gender-neutral, unspecified gender, young
👦🏻	Fair skin, boy, boy: Fair skin, young
👦🏼	boy, boy: medium-fair skin, medium-fair skin, young
👦🏽	boy, boy: medium skin, medium skin, young
👦🏾	boy, boy: medium-dark skin, medium-dark skin, young
👦🏿	boy, boy: dark skin, dark skin, young
👧🏻	Fair skin, Virgo, girl, girl: Fair skin, young, zodiac
👧🏼	Virgo, girl, girl: medium-fair skin, medium-fair skin, young, zodiac
👧🏽	Virgo, girl, girl: medium skin, medium skin, young, zodiac
👧🏾	Virgo, girl, girl: medium-dark skin, medium-dark skin, young, zodiac
👧🏿	Virgo, dark skin, girl, girl: dark skin, young, zodiac
🧑🏻	Fair skin, adult, gender-neutral, person, person: Fair skin, unspecified gender
🧑🏼	adult, gender-neutral, medium-fair skin, person, person: medium-fair skin, unspecified gender
🧑🏽	adult, gender-neutral, medium skin, person, person: medium skin, unspecified gender
🧑🏾	adult, gender-neutral, medium-dark skin, person, person: medium-dark skin, unspecified gender
🧑🏿	adult, dark skin, gender-neutral, person, person: dark skin, unspecified gender
👱	blond, blond-hair wala vyakti, hair, person: blond hair
👱🏻	Fair skin, blond, blond-hair wala vyakti, hair, person: Fair skin, blond hair, person: blond hair
👱🏼	blond, blond-hair wala vyakti, hair, medium-fair skin, person: blond hair, person: medium-fair skin, blond hair
👱🏽	blond, blond-hair wala vyakti, hair, medium skin, person: blond hair, person: medium skin, blond hair
👱🏾	blond, blond-hair wala vyakti, hair, medium-dark skin, person: blond hair, person: medium-dark skin, blond hair
👱🏿	blond, blond-hair wala vyakti, dark skin, hair, person: blond hair, person: dark skin, blond hair
🧑🏻‍❤‍💋‍🧑🏼	Fair skin, couple, kiss, kiss: person, person, Fair skin, medium-fair skin, medium-fair skin, person
🧑🏻‍❤‍💋‍🧑🏽	Fair skin, couple, kiss, kiss: person, person, Fair skin, medium skin, medium skin, person
🧑🏻‍❤‍💋‍🧑🏾	Fair skin, couple, kiss, kiss: person, person, Fair skin, medium-dark skin, medium-dark skin, person
🧑🏻‍❤‍💋‍🧑🏿	Fair skin, couple, dark skin, kiss, kiss: person, person, Fair skin, dark skin, person
🧑🏼‍❤‍💋‍🧑🏻	Fair skin, couple, kiss, kiss: person, person, medium-fair skin, Fair skin, medium-fair skin, person
🧑🏼‍❤‍💋‍🧑🏽	couple, kiss, kiss: person, person, medium-fair skin, medium skin, medium skin, medium-fair skin, person
🧑🏼‍❤‍💋‍🧑🏾	couple, kiss, kiss: person, person, medium-fair skin, medium-dark skin, medium-dark skin, medium-fair skin, person
🧑🏼‍❤‍💋‍🧑🏿	couple, dark skin, kiss, kiss: person, person, medium-fair skin, dark skin, medium-fair skin, person
🧑🏽‍❤‍💋‍🧑🏻	Fair skin, couple, kiss, kiss: person, person, medium skin, Fair skin, medium skin, person
🧑🏽‍❤‍💋‍🧑🏼	couple, kiss, kiss: person, person, medium skin, medium-fair skin, medium skin, medium-fair skin, person
🧑🏽‍❤‍💋‍🧑🏾	couple, kiss, kiss: person, person, medium skin, medium-dark skin, medium skin, medium-dark skin, person
🧑🏽‍❤‍💋‍🧑🏿	couple, dark skin, kiss, kiss: person, person, medium skin, dark skin, medium skin, person
🧑🏾‍❤‍💋‍🧑🏻	Fair skin, couple, kiss, kiss: person, person, medium-dark skin, Fair skin, medium-dark skin, person
🧑🏾‍❤‍💋‍🧑🏼	couple, kiss, kiss: person, person, medium-dark skin, medium-fair skin, medium-dark skin, medium-fair skin, person
🧑🏾‍❤‍💋‍🧑🏽	couple, kiss, kiss: person, person, medium-dark skin, medium skin, medium skin, medium-dark skin, person
🧑🏾‍❤‍💋‍🧑🏿	couple, dark skin, kiss, kiss: person, person, medium-dark skin, dark skin, medium-dark skin, person
🧑🏿‍❤‍💋‍🧑🏻	Fair skin, couple, dark skin, kiss, kiss: person, person, dark skin, Fair skin, person
🧑🏿‍❤‍💋‍🧑🏼	couple, dark skin, kiss, kiss: person, person, dark skin, medium-fair skin, medium-fair skin, person
🧑🏿‍❤‍💋‍🧑🏽	couple, dark skin, kiss, kiss: person, person, dark skin, medium skin, medium skin, person
🧑🏿‍❤‍💋‍🧑🏾	couple, dark skin, kiss, kiss: person, person, dark skin, medium-dark skin, medium-dark skin, person
🧑🏻‍❤‍🧑🏼	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: person, person, Fair skin, medium-fair skin, love, medium-fair skin, person
🧑🏻‍❤‍🧑🏽	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: person, person, Fair skin, medium skin, love, medium skin, person
🧑🏻‍❤‍🧑🏾	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: person, person, Fair skin, medium-dark skin, love, medium-dark skin, person
🧑🏻‍❤‍🧑🏿	Fair skin, couple, dark skin, heart symbol ke saath couple, heart symbol ke saath couple: person, person, Fair skin, dark skin, love, person
🧑🏼‍❤‍🧑🏻	Fair skin, couple, heart symbol ke saath couple, heart symbol ke saath couple: person, person, medium-fair skin, Fair skin, love, medium-fair skin, person
🧑🏼‍❤‍🧑🏽	couple, heart symbol ke saath couple, heart symbol ke saath couple: person, person, medium-fair skin, medium skin, love, medium skin, medium-fair skin, person
