‾	kan layi
🖐🏾	faɗaɗa hannu, hannu, launin fata mai madaidaicin duhu, yatsa, ɗagaggen hannu tare da yatsa a faɗaɗɗe, ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai madaidaicin duhu
🖐🏿	faɗaɗa hannu, hannu, launin fata mai duhu, yatsa, ɗagaggen hannu tare da yatsa a faɗaɗɗe, ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai duhu
✋	hannu, tafa yatsu biyar, ɗagaggen hannu
✋🏻	hannu, launin fata mai haske, tafa yatsu biyar, ɗagaggen hannu, ɗagaggen hannu: launin fata mai haske
✋🏼	hannu, launin fata mai madaidaicin haske, tafa yatsu biyar, ɗagaggen hannu, ɗagaggen hannu: launin fata mai madaidaicin haske
✋🏽	hannu, madaidaicin launin fata, tafa yatsu biyar, ɗagaggen hannu, ɗagaggen hannu: madaidaicin launin fata
✋🏾	hannu, launin fata mai madaidaicin duhu, tafa yatsu biyar, ɗagaggen hannu, ɗagaggen hannu: launin fata mai madaidaicin duhu
✋🏿	hannu, launin fata mai duhu, tafa yatsu biyar, ɗagaggen hannu, ɗagaggen hannu: launin fata mai duhu
🖖	gaisuwar vulcan, hannu, spock, vulcan, yatsa
🖖🏻	gaisuwar vulcan, gaisuwar vulcan: launin fata mai haske, hannu, launin fata mai haske, spock, vulcan, yatsa
🖖🏼	gaisuwar vulcan, gaisuwar vulcan: launin fata mai madaidaicin haske, hannu, launin fata mai madaidaicin haske, spock, vulcan, yatsa
🖖🏽	gaisuwar vulcan, gaisuwar vulcan: madaidaicin launin fata, hannu, madaidaicin launin fata, spock, vulcan, yatsa
🖖🏾	gaisuwar vulcan, gaisuwar vulcan: launin fata mai madaidaicin duhu, hannu, launin fata mai madaidaicin duhu, spock, vulcan, yatsa
🖖🏿	gaisuwar vulcan, gaisuwar vulcan: launin fata mai duhu, hannu, launin fata mai duhu, spock, vulcan, yatsa
🫱	dama, dama gaba, hannu, hannun dama gaba
