_	dolna smužka, pódsmužka, smužka
🫲	nalěwo, ruka, ruka nalěwo
🫲🏻	nalěwo, ruka, ruka nalěwo: swětła barwa kóže, swětła barwa kóže
🫲🏼	nalěwo, ruka, ruka nalěwo: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže
🫲🏽	nalěwo, ruka, ruka nalěwo: wósrědna barwa kóže, wósrědna barwa kóže
🫲🏾	nalěwo, ruka, ruka nalěwo: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže
🫲🏿	nalěwo, ruka, ruka nalěwo: śamna barwa kóže, śamna barwa kóže
🫳	dłoń pokazujo dołoj, pušćiś, wugnaś, z ruki pušćiś
🫳🏻	dłoń pokazujo dołoj, dłoń pokazujo dołoj: swětła barwa kóže, pušćiś, swětła barwa kóže, wugnaś, z ruki pušćiś
🫳🏼	dłoń pokazujo dołoj, dłoń pokazujo dołoj: srjejźnoswětła barwa kóže, pušćiś, srjejźnoswětła barwa kóže, wugnaś, z ruki pušćiś
🫳🏽	dłoń pokazujo dołoj, dłoń pokazujo dołoj: wósrědna barwa kóže, pušćiś, wugnaś, wósrědna barwa kóže, z ruki pušćiś
🫳🏾	dłoń pokazujo dołoj, dłoń pokazujo dołoj: srjejźnośamna barwa kóže, pušćiś, srjejźnośamna barwa kóže, wugnaś, z ruki pušćiś
🫳🏿	dłoń pokazujo dołoj, dłoń pokazujo dołoj: śamna barwa kóže, pušćiś, wugnaś, z ruki pušćiś, śamna barwa kóže
🫴	dłoń pokazujo górjej, kiwaś, póbitowaś, pópadnuś, pśiś
🫴🏻	dłoń pokazujo górjej, dłoń pokazujo górjej: swětła barwa kóže, kiwaś, póbitowaś, pópadnuś, pśiś, swětła barwa kóže
🫴🏼	dłoń pokazujo górjej, dłoń pokazujo górjej: srjejźnoswětła barwa kóže, kiwaś, póbitowaś, pópadnuś, pśiś, srjejźnoswětła barwa kóže
🫴🏽	dłoń pokazujo górjej, dłoń pokazujo górjej: wósrědna barwa kóže, kiwaś, póbitowaś, pópadnuś, pśiś, wósrědna barwa kóže
🫴🏾	dłoń pokazujo górjej, dłoń pokazujo górjej: srjejźnośamna barwa kóže, kiwaś, póbitowaś, pópadnuś, pśiś, srjejźnośamna barwa kóže
🫴🏿	dłoń pokazujo górjej, dłoń pokazujo górjej: śamna barwa kóže, kiwaś, póbitowaś, pópadnuś, pśiś, śamna barwa kóže
👌	ekscelentny, ok, ok-gesta, okay, okay-gesta, perfektny, ruka, w rěchu
👌🏻	ekscelentny, ok, ok-gesta, ok-gesta: swětła barwa kóže, okay, okay-gesta, perfektny, ruka, swětła barwa kóže, w rěchu
👌🏼	ekscelentny, ok, ok-gesta, ok-gesta: srjejźnoswětła barwa kóže, okay, okay-gesta, perfektny, ruka, srjejźnoswětła barwa kóže, w rěchu
👌🏽	ekscelentny, ok, ok-gesta, ok-gesta: wósrědna barwa kóže, okay, okay-gesta, perfektny, ruka, w rěchu, wósrědna barwa kóže
👌🏾	ekscelentny, ok, ok-gesta, ok-gesta: srjejźnośamna barwa kóže, okay, okay-gesta, perfektny, ruka, srjejźnośamna barwa kóže, w rěchu
👌🏿	ekscelentny, ok, ok-gesta, ok-gesta: śamna barwa kóže, okay, okay-gesta, perfektny, ruka, w rěchu, śamna barwa kóže
🤌	gesta z ruku, gromadu stłocone palce, gromadu stłocony, palce, sarkastiski
🤌🏻	gesta z ruku, gromadu stłocone palce, gromadu stłocone palce: swětła barwa kóže, gromadu stłocony, palce, sarkastiski, swětła barwa kóže
🤌🏼	gesta z ruku, gromadu stłocone palce, gromadu stłocone palce: srjejźnoswětła barwa kóže, gromadu stłocony, palce, sarkastiski, srjejźnoswětła barwa kóže
🤌🏽	gesta z ruku, gromadu stłocone palce, gromadu stłocone palce: wósrědna barwa kóže, gromadu stłocony, palce, sarkastiski, wósrědna barwa kóže
🤌🏾	gesta z ruku, gromadu stłocone palce, gromadu stłocone palce: srjejźnośamna barwa kóže, gromadu stłocony, palce, sarkastiski, srjejźnośamna barwa kóže
🤌🏿	gesta z ruku, gromadu stłocone palce, gromadu stłocone palce: śamna barwa kóže, gromadu stłocony, palce, sarkastiski, śamna barwa kóže
🤏	mała suma, mała tšocha, mało, mało-gesta, mały, njewažny
🤏🏻	mała suma, mała tšocha, mało, mało-gesta, mało-gesta: swětła barwa kóže, mały, njewažny, swětła barwa kóže
🤏🏼	mała suma, mała tšocha, mało, mało-gesta, mało-gesta: srjejźnoswětła barwa kóže, mały, njewažny, srjejźnoswětła barwa kóže
🤏🏽	mała suma, mała tšocha, mało, mało-gesta, mało-gesta: wósrědna barwa kóže, mały, njewažny, wósrědna barwa kóže
🤏🏾	mała suma, mała tšocha, mało, mało-gesta, mało-gesta: srjejźnośamna barwa kóže, mały, njewažny, srjejźnośamna barwa kóže
🤏🏿	mała suma, mała tšocha, mało, mało-gesta, mało-gesta: śamna barwa kóže, mały, njewažny, śamna barwa kóže
✌️	V, dobyśaŕska gesta, dobyśe, gesta-dobyśa
✌🏻	V, dobyśaŕska gesta, dobyśaŕska gesta: swětła barwa kóže, dobyśe, gesta-dobyśa, swětła barwa kóže
✌🏼	V, dobyśaŕska gesta, dobyśaŕska gesta: srjejźnoswětła barwa kóže, dobyśe, gesta-dobyśa, srjejźnoswětła barwa kóže
✌🏽	V, dobyśaŕska gesta, dobyśaŕska gesta: wósrědna barwa kóže, dobyśe, gesta-dobyśa, wósrědna barwa kóže
✌🏾	V, dobyśaŕska gesta, dobyśaŕska gesta: srjejźnośamna barwa kóže, dobyśe, gesta-dobyśa, srjejźnośamna barwa kóže
✌🏿	V, dobyśaŕska gesta, dobyśaŕska gesta: śamna barwa kóže, dobyśe, gesta-dobyśa, śamna barwa kóže
🤞	palc, pśekśicnjony, ruka, ruka z pśekśicnjonyma palcoma
🤞🏻	palc, pśekśicnjony, ruka, ruka z pśekśicnjonyma palcoma, ruka z pśekśicnjonyma palcoma: swětła barwa kóže, swětła barwa kóže
🤞🏼	palc, pśekśicnjony, ruka, ruka z pśekśicnjonyma palcoma, ruka z pśekśicnjonyma palcoma: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže
🤞🏽	palc, pśekśicnjony, ruka, ruka z pśekśicnjonyma palcoma, ruka z pśekśicnjonyma palcoma: wósrědna barwa kóže, wósrědna barwa kóže
🤞🏾	palc, pśekśicnjony, ruka, ruka z pśekśicnjonyma palcoma, ruka z pśekśicnjonyma palcoma: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže
🤞🏿	palc, pśekśicnjony, ruka, ruka z pśekśicnjonyma palcoma, ruka z pśekśicnjonyma palcoma: śamna barwa kóže, śamna barwa kóže
🫰	droge, lubosć, pjenjeze, ruka, z pśekśicowanym pokazowarjom a palcom, wutšoba
🫰🏻	droge, lubosć, pjenjeze, ruka, z pśekśicowanym pokazowarjom a palcom, ruka, z pśekśicowanym pokazowarjom a palcom: swětła barwa kóže, swětła barwa kóže, wutšoba
🫰🏼	droge, lubosć, pjenjeze, ruka, z pśekśicowanym pokazowarjom a palcom, ruka, z pśekśicowanym pokazowarjom a palcom: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže, wutšoba
🫰🏽	droge, lubosć, pjenjeze, ruka, z pśekśicowanym pokazowarjom a palcom, ruka, z pśekśicowanym pokazowarjom a palcom: wósrědna barwa kóže, wutšoba, wósrědna barwa kóže
🫰🏾	droge, lubosć, pjenjeze, ruka, z pśekśicowanym pokazowarjom a palcom, ruka, z pśekśicowanym pokazowarjom a palcom: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže, wutšoba
🫰🏿	droge, lubosć, pjenjeze, ruka, z pśekśicowanym pokazowarjom a palcom, ruka, z pśekśicowanym pokazowarjom a palcom: śamna barwa kóže, wutšoba, śamna barwa kóže
🤟	Ja śi lubujom, gesta "ja śi lubujom", ruka
🤟🏻	Ja śi lubujom, gesta "ja śi lubujom", gesta "ja śi lubujom": swětła barwa kóže, ruka, swětła barwa kóže
🤟🏼	Ja śi lubujom, gesta "ja śi lubujom", gesta "ja śi lubujom": srjejźnoswětła barwa kóže, ruka, srjejźnoswětła barwa kóže
🤟🏽	Ja śi lubujom, gesta "ja śi lubujom", gesta "ja śi lubujom": wósrědna barwa kóže, ruka, wósrědna barwa kóže
🤟🏾	Ja śi lubujom, gesta "ja śi lubujom", gesta "ja śi lubujom": srjejźnośamna barwa kóže, ruka, srjejźnośamna barwa kóže
🤟🏿	Ja śi lubujom, gesta "ja śi lubujom", gesta "ja śi lubujom": śamna barwa kóže, ruka, śamna barwa kóže
🤘	cart, cartowe póstrowjenje, kóšula, palce, rogi, ruka
🤘🏻	cart, cartowe póstrowjenje, cartowe póstrowjenje: swětła barwa kóže, kóšula, palce, rogi, ruka, swětła barwa kóže
🤘🏼	cart, cartowe póstrowjenje, cartowe póstrowjenje: srjejźnoswětła barwa kóže, kóšula, palce, rogi, ruka, srjejźnoswětła barwa kóže
🤘🏽	cart, cartowe póstrowjenje, cartowe póstrowjenje: wósrědna barwa kóže, kóšula, palce, rogi, ruka, wósrědna barwa kóže
🤘🏾	cart, cartowe póstrowjenje, cartowe póstrowjenje: srjejźnośamna barwa kóže, kóšula, palce, rogi, ruka, srjejźnośamna barwa kóže
🤘🏿	cart, cartowe póstrowjenje, cartowe póstrowjenje: śamna barwa kóže, kóšula, palce, rogi, ruka, śamna barwa kóže
🤙	gesta "zawołaj na mnjo", ruka, zawołaś
🤙🏻	gesta "zawołaj na mnjo", gesta "zawołaj na mnjo": swětła barwa kóže, ruka, swětła barwa kóže, zawołaś
🤙🏼	gesta "zawołaj na mnjo", gesta "zawołaj na mnjo": srjejźnoswětła barwa kóže, ruka, srjejźnoswětła barwa kóže, zawołaś
🤙🏽	gesta "zawołaj na mnjo", gesta "zawołaj na mnjo": wósrědna barwa kóže, ruka, wósrědna barwa kóže, zawołaś
🤙🏾	gesta "zawołaj na mnjo", gesta "zawołaj na mnjo": srjejźnośamna barwa kóže, ruka, srjejźnośamna barwa kóže, zawołaś
🤙🏿	gesta "zawołaj na mnjo", gesta "zawołaj na mnjo": śamna barwa kóže, ruka, zawołaś, śamna barwa kóže
👈️	lěwy, nalěwo pokazujucy drugi palc, palc, wjerch ruki
👈🏻	lěwy, nalěwo pokazujucy drugi palc, nalěwo pokazujucy drugi palc: swětła barwa kóže, palc, swětła barwa kóže, wjerch ruki
👈🏼	lěwy, nalěwo pokazujucy drugi palc, nalěwo pokazujucy drugi palc: srjejźnoswětła barwa kóže, palc, srjejźnoswětła barwa kóže, wjerch ruki
👈🏽	lěwy, nalěwo pokazujucy drugi palc, nalěwo pokazujucy drugi palc: wósrědna barwa kóže, palc, wjerch ruki, wósrědna barwa kóže
👈🏾	lěwy, nalěwo pokazujucy drugi palc, nalěwo pokazujucy drugi palc: srjejźnośamna barwa kóže, palc, srjejźnośamna barwa kóže, wjerch ruki
👈🏿	lěwy, nalěwo pokazujucy drugi palc, nalěwo pokazujucy drugi palc: śamna barwa kóže, palc, wjerch ruki, śamna barwa kóže
👉️	napšawo pokazujucy drugi palc, napšawo pokazujucy drugii palc, palce, pšawy, slězny bok ruki
👉🏻	napšawo pokazujucy drugi palc, napšawo pokazujucy drugii palc, napšawo pokazujucy drugii palc: swětła barwa kóže, palce, pšawy, slězny bok ruki, swětła barwa kóže
👉🏼	napšawo pokazujucy drugi palc, napšawo pokazujucy drugii palc, napšawo pokazujucy drugii palc: srjejźnoswětła barwa kóže, palce, pšawy, slězny bok ruki, srjejźnoswětła barwa kóže
👉🏽	napšawo pokazujucy drugi palc, napšawo pokazujucy drugii palc, napšawo pokazujucy drugii palc: wósrědna barwa kóže, palce, pšawy, slězny bok ruki, wósrědna barwa kóže
👉🏾	napšawo pokazujucy drugi palc, napšawo pokazujucy drugii palc, napšawo pokazujucy drugii palc: srjejźnośamna barwa kóže, palce, pšawy, slězny bok ruki, srjejźnośamna barwa kóže
👉🏿	napšawo pokazujucy drugi palc, napšawo pokazujucy drugii palc, napšawo pokazujucy drugii palc: śamna barwa kóže, palce, pšawy, slězny bok ruki, śamna barwa kóže
👆️	górjej, górjej pokazujucy drugi palc wót slědka, palc, slězny bok ruki
👆🏻	górjej, górjej pokazujucy drugi palc wót slědka, górjej pokazujucy drugi palc wót slědka: swětła barwa kóže, palc, slězny bok ruki, swětła barwa kóže
👆🏼	górjej, górjej pokazujucy drugi palc wót slědka, górjej pokazujucy drugi palc wót slědka: srjejźnoswětła barwa kóže, palc, slězny bok ruki, srjejźnoswětła barwa kóže
👆🏽	górjej, górjej pokazujucy drugi palc wót slědka, górjej pokazujucy drugi palc wót slědka: wósrědna barwa kóže, palc, slězny bok ruki, wósrědna barwa kóže
👆🏾	górjej, górjej pokazujucy drugi palc wót slědka, górjej pokazujucy drugi palc wót slědka: srjejźnośamna barwa kóže, palc, slězny bok ruki, srjejźnośamna barwa kóže
👆🏿	górjej, górjej pokazujucy drugi palc wót slědka, górjej pokazujucy drugi palc wót slědka: śamna barwa kóže, palc, slězny bok ruki, śamna barwa kóže
🖕	palc, ruka, wósrědny palc
🖕🏻	palc, ruka, swětła barwa kóže, wósrědny palc, wósrědny palc: swětła barwa kóže
🖕🏼	palc, ruka, srjejźnoswětła barwa kóže, wósrědny palc, wósrědny palc: srjejźnoswětła barwa kóže
🖕🏽	palc, ruka, wósrědna barwa kóže, wósrědny palc, wósrědny palc: wósrědna barwa kóže
🖕🏾	palc, ruka, srjejźnośamna barwa kóže, wósrědny palc, wósrědny palc: srjejźnośamna barwa kóže
🖕🏿	palc, ruka, wósrědny palc, wósrědny palc: śamna barwa kóže, śamna barwa kóže
👇️	dołoj, dołoj pokazujucy drugi palc, palc, slězny bok ruki
👇🏻	dołoj, dołoj pokazujucy drugi palc, dołoj pokazujucy drugi palc: swětła barwa kóže, palc, slězny bok ruki, swětła barwa kóže
👇🏼	dołoj, dołoj pokazujucy drugi palc, dołoj pokazujucy drugi palc: srjejźnoswětła barwa kóže, palc, slězny bok ruki, srjejźnoswětła barwa kóže
👇🏽	dołoj, dołoj pokazujucy drugi palc, dołoj pokazujucy drugi palc: wósrědna barwa kóže, palc, slězny bok ruki, wósrědna barwa kóže
👇🏾	dołoj, dołoj pokazujucy drugi palc, dołoj pokazujucy drugi palc: srjejźnośamna barwa kóže, palc, slězny bok ruki, srjejźnośamna barwa kóže
👇🏿	dołoj, dołoj pokazujucy drugi palc, dołoj pokazujucy drugi palc: śamna barwa kóže, palc, slězny bok ruki, śamna barwa kóže
☝️	drugi palc, górjej, górjej pokazujucy drugi palc wót prědka, górjej pokazujucy drugi plac wót prědka, palc, prědkowny bok ruki, ruka
☝🏻	drugi palc, górjej, górjej pokazujucy drugi palc wót prědka, górjej pokazujucy drugi palc wót prědka: swětła barwa kóže, górjej pokazujucy drugi plac wót prědka, palc, prědkowny bok ruki, ruka, swětła barwa kóže
☝🏼	drugi palc, górjej, górjej pokazujucy drugi palc wót prědka, górjej pokazujucy drugi palc wót prědka: srjejźnoswětła barwa kóže, górjej pokazujucy drugi plac wót prědka, palc, prědkowny bok ruki, ruka, srjejźnoswětła barwa kóže
☝🏽	drugi palc, górjej, górjej pokazujucy drugi palc wót prědka, górjej pokazujucy drugi palc wót prědka: wósrědna barwa kóže, górjej pokazujucy drugi plac wót prědka, palc, prědkowny bok ruki, ruka, wósrědna barwa kóže
☝🏾	drugi palc, górjej, górjej pokazujucy drugi palc wót prědka, górjej pokazujucy drugi palc wót prědka: srjejźnośamna barwa kóže, górjej pokazujucy drugi plac wót prědka, palc, prědkowny bok ruki, ruka, srjejźnośamna barwa kóže
☝🏿	drugi palc, górjej, górjej pokazujucy drugi palc wót prědka, górjej pokazujucy drugi palc wót prědka: śamna barwa kóže, górjej pokazujucy drugi plac wót prědka, palc, prědkowny bok ruki, ruka, śamna barwa kóže
🫵	dypk, pokazowaŕ, wusměrjony na glědajucego, ty
🫵🏻	dypk, pokazowaŕ, wusměrjony na glědajucego, pokazowaŕ, wusměrjony na glědajucego: swětła barwa kóže, swětła barwa kóže, ty
🫵🏼	dypk, pokazowaŕ, wusměrjony na glědajucego, pokazowaŕ, wusměrjony na glědajucego: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže, ty
🫵🏽	dypk, pokazowaŕ, wusměrjony na glědajucego, pokazowaŕ, wusměrjony na glědajucego: wósrědna barwa kóže, ty, wósrědna barwa kóže
🫵🏾	dypk, pokazowaŕ, wusměrjony na glědajucego, pokazowaŕ, wusměrjony na glědajucego: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže, ty
🫵🏿	dypk, pokazowaŕ, wusměrjony na glědajucego, pokazowaŕ, wusměrjony na glědajucego: śamna barwa kóže, ty, śamna barwa kóže
👍️	derje, ruka górjej, tłusty palc, tłusty palc górjej
👍🏻	derje, ruka górjej, swětła barwa kóže, tłusty palc, tłusty palc górjej, tłusty palc górjej: swětła barwa kóže
👍🏼	derje, ruka górjej, srjejźnoswětła barwa kóže, tłusty palc, tłusty palc górjej, tłusty palc górjej: srjejźnoswětła barwa kóže
👍🏽	derje, ruka górjej, tłusty palc, tłusty palc górjej, tłusty palc górjej: wósrědna barwa kóže, wósrědna barwa kóže
👍🏾	derje, ruka górjej, srjejźnośamna barwa kóže, tłusty palc, tłusty palc górjej, tłusty palc górjej: srjejźnośamna barwa kóže
👍🏿	derje, ruka górjej, tłusty palc, tłusty palc górjej, tłusty palc górjej: śamna barwa kóže, śamna barwa kóže
👎️	dołoj, ruka, tłusty palc, tłusty palc dołoj, špatnje
👎🏻	dołoj, ruka, swětła barwa kóže, tłusty palc, tłusty palc dołoj, tłusty palc dołoj: swětła barwa kóže, špatnje
👎🏼	dołoj, ruka, srjejźnoswětła barwa kóže, tłusty palc, tłusty palc dołoj, tłusty palc dołoj: srjejźnoswětła barwa kóže, špatnje
👎🏽	dołoj, ruka, tłusty palc, tłusty palc dołoj, tłusty palc dołoj: wósrědna barwa kóže, wósrědna barwa kóže, špatnje
👎🏾	dołoj, ruka, srjejźnośamna barwa kóže, tłusty palc, tłusty palc dołoj, tłusty palc dołoj: srjejźnośamna barwa kóže, špatnje
👎🏿	dołoj, ruka, tłusty palc, tłusty palc dołoj, tłusty palc dołoj: śamna barwa kóže, śamna barwa kóže, špatnje
✊	pózwignjona pěsć, pěsć
✊🏻	pózwignjona pěsć, pózwignjona pěsć: swětła barwa kóže, pěsć, swětła barwa kóže
✊🏼	pózwignjona pěsć, pózwignjona pěsć: srjejźnoswětła barwa kóže, pěsć, srjejźnoswětła barwa kóže
✊🏽	pózwignjona pěsć, pózwignjona pěsć: wósrědna barwa kóže, pěsć, wósrědna barwa kóže
✊🏾	pózwignjona pěsć, pózwignjona pěsć: srjejźnośamna barwa kóže, pěsć, srjejźnośamna barwa kóže
✊🏿	pózwignjona pěsć, pózwignjona pěsć: śamna barwa kóže, pěsć, śamna barwa kóže
👊	pěsć, ruka, zamknjona pěsć
👊🏻	pěsć, ruka, swětła barwa kóže, zamknjona pěsć, zamknjona pěsć: swětła barwa kóže
👊🏼	pěsć, ruka, srjejźnoswětła barwa kóže, zamknjona pěsć, zamknjona pěsć: srjejźnoswětła barwa kóže
👊🏽	pěsć, ruka, wósrědna barwa kóže, zamknjona pěsć, zamknjona pěsć: wósrědna barwa kóže
👊🏾	pěsć, ruka, srjejźnośamna barwa kóže, zamknjona pěsć, zamknjona pěsć: srjejźnośamna barwa kóže
👊🏿	pěsć, ruka, zamknjona pěsć, zamknjona pěsć: śamna barwa kóže, śamna barwa kóže
🤛	nalěwo, pěsć, pěsć nalěwo
🤛🏻	nalěwo, pěsć, pěsć nalěwo: swětła barwa kóže, swětła barwa kóže
🤛🏼	nalěwo, pěsć, pěsć nalěwo: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže
🤛🏽	nalěwo, pěsć, pěsć nalěwo: wósrědna barwa kóže, wósrědna barwa kóže
🤛🏾	nalěwo, pěsć, pěsć nalěwo: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže
🤛🏿	nalěwo, pěsć, pěsć nalěwo: śamna barwa kóže, śamna barwa kóže
🤜	napšawo, pěsć, pěsć napšawo
🤜🏻	napšawo, pěsć, pěsć napšawo: swětła barwa kóže, swětła barwa kóže
🤜🏼	napšawo, pěsć, pěsć napšawo: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže
🤜🏽	napšawo, pěsć, pěsć napšawo: wósrědna barwa kóže, wósrědna barwa kóže
🤜🏾	napšawo, pěsć, pěsć napšawo: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže
🤜🏿	napšawo, pěsć, pěsć napšawo: śamna barwa kóže, śamna barwa kóže
👏	aplawděrowaś, pśiklask, pśiklaskowanje, pśiklaskujuce ruki, ruki
👏🏻	aplawděrowaś, pśiklask, pśiklaskowanje, pśiklaskujuce ruki, pśiklaskujuce ruki: swětła barwa kóže, ruki, swětła barwa kóže
