‾	siqisqa, takay, vinculum
😜	asina, chʼirmi, chʼirmi uya qalluwan, qallu, uya, ñawi
🤪	hatun, huchuy, waqʼa, waqʼa uya, ñawi
😝	mikhuy, millana wichqasqa ñawikuna qalluwan, qallu, uya, wichqasqa ñawikuna qalluwan, ñawi
🤑	qallu, qullqi, qullqi simi uya, simi qullqiwan uya, uya
🤗	mak’alli, mak’allisqa, uya, ya makʼalliwan
🤭	ups, uya makiwan simipi
🫢	manchakusqa, manchakuy, pinqakusqa, pinqakuy, uya kichasqa ñawikunawan maki simipi
🫣	captivatu, chinkachisqa, uya chinkachisqa ñawiwan, ñawiriy
🤫	chʼin, chʼin uya, ch’in uya, ñañiq
🤔	uya, yuyasqa, yuyasqa uya
🫡	inti, rimaykuy, uya rimaykuspa, uyakuy, yari
🤐	simi, uya, uya ziper simipi, ziper
🤨	eseptico, mana iñisqa, uya wichasqa qhiñipa, uya wichqasqa qhiñipa
😐️	chʼusaq uya, kikin, neural, uh, uya
😑	eh, mana expresioniyuq, mana rimasqa uya, uya, wañusqa
😶	chʼin, simi, uya, uya mana simiyuqwan, ñañiq
🫥	chinkachiy, chusupa siqinwan uya, mana riqisqa, upallasqa
😶‍🌫	chaqrusqa uya, payu, phuñusqa uma, uya phuyukunapi
😏	kʼaskikachay, kʼaskiskachasqa uya, uya
😒	llakisqa, mana kusisqa, mana kusisqa uya, uya
🙄	muyusqa, muyuy, uya, uya muyusqa ñawikunawan, ñawikuna
😬	muesca, uya, uya muecaswan, uya muescaswan
😮‍💨	anchhiy, ansaqiy, jinchuy, llamsayay, samay, uya samachkan
🤥	llullakusqa uya, llullakuy, pinocho, uya
😌	llamsayasqa, llamsayasqa uya, uya
😔	usphu, uya, yuyaspa, yuyaspa uya
😪	puñuy, uya, uya puñuywan
🤤	llawsasuru, llawsasuru uyu, uyu
😴	puñusqa uya, puñuy, uya, zzz
😷	barbijo, chiri, hampiq, unqusqa, uya, uya barbijiwan, uya barbijowan
🤒	termometro, termometrowan uya, unqusqa, unquy, uya
🤕	kʼiri, kʼirisqa, uya, uya manku umawan, venda
🤢	q’ipna, uya, ñatʼisqa uya, ñat’isqa
🤮	qʼipina, qʼipina uya, q’ipina uya, unqusqa
🤧	gesundheit, jachisqa uya, jachiy, uya
🥵	fiebre, jumpʼi, puka uya, qʼuñi, qʼuñi uya, ruphay
🥶	anqas uya, chhullunkaa, chiri, chiri uy, chiri uya, khutu, khutuy
🥴	intoxicado, machasqa, muyu muyu, qinquykachasqa simi, uma muyuy, wistʼu ñawikuna
😵	takasqa uya, uya, wañuy
😵‍💫	espiral, hipnotizado, muyu muyu, sasachay, uya espiral ñawikunawan, wow
🤯	luqlu yuyay, mancharisqa, pʼakisqa uma, p’akisqa uma
🤠	baquera, baquero, baquero uya chukuwan, chuku, uya
🥳	chuku, jarana, qʼuchukusqa uya, raymi, waqra
🥸	lentekuna, mana riqsiqisqa, pakasqa, pakasqa uya, sinqa, uya
😎	allinlla, inti, kusisqa uya lenteswan, kʼanchay, lentes de sol nisqa, uya
🤓	friki, uya, yuyaq, yuyaq uya
🧐	maskasqa, uya monoculowan
😕	chaqrusqa uya, eh, uya
🫤	chinkachisqa, eseptiku, mana uyakusqa, mmm, uya wiksu simiwan
😟	llakisqa, llakisqa uya, uya
🙁	llaki, pisi llakisqa uya, uya
☹️	sipʼusqa uya, sipʼuy, uya
😮	kichay, kʼacha, simi, uya, uya kichasqa simiwan
😯	chʼin kasqa uya, kakka, manchachisqa, p’inqakusqa, uya
😲	añasqa, añasqa uya, chaqrusqa, llapan, uya
😳	kuyusqa, pʼinqakusqa uya, p’inqakusqa, uya
