‾	siqisqa, takay, vinculum
⛹🏼‍♀	p’ulu, tunpa chuya qara niraq, warmi, warmi p’uluta chuqapachkan, warmi p’uluta chuqapachkan: tunpa chuya qara niraq
⛹🏽‍♀	p’ulu, tunpa qara niraq, warmi, warmi p’uluta chuqapachkan, warmi p’uluta chuqapachkan: tunpa qara niraq
⛹🏾‍♀	p’ulu, tunpa yana qara niraq, warmi, warmi p’uluta chuqapachkan, warmi p’uluta chuqapachkan: tunpa yana qara niraq
⛹🏿‍♀	p’ulu, warmi, warmi p’uluta chuqapachkan, warmi p’uluta chuqapachkan: yana qara niraq, yana qara niraq
🏋️	jatarichiy, llasaynin, runa llasayninkunata jatarichichkan
🏋🏻	chuya qara niraq, jatarichiy, llasaynin, runa llasayninkunata jatarichichkan, runa llasayninkunata jatarichichkan: chuya qara niraq
🏋🏼	jatarichiy, llasaynin, runa llasayninkunata jatarichichkan, runa llasayninkunata jatarichichkan: tunpa chuya qara niraq, tunpa chuya qara niraq
🏋🏽	jatarichiy, llasaynin, runa llasayninkunata jatarichichkan, runa llasayninkunata jatarichichkan: tunpa qara niraq, tunpa qara niraq
🏋🏾	jatarichiy, llasaynin, runa llasayninkunata jatarichichkan, runa llasayninkunata jatarichichkan: tunpa yana qara niraq, tunpa yana qara niraq
🏋🏿	jatarichiy, llasaynin, runa llasayninkunata jatarichichkan, runa llasayninkunata jatarichichkan: yana qara niraq, yana qara niraq
🏋‍♂	sayaynin jatarichiy, tata, tata sayayninkunata jatarichichkan
🏋🏻‍♂	chuya qara niraq, sayaynin jatarichiy, tata, tata sayayninkunata jatarichichkan, tata sayayninkunata jatarichichkan: chuya qara niraq
🏋🏼‍♂	sayaynin jatarichiy, tata, tata sayayninkunata jatarichichkan, tata sayayninkunata jatarichichkan: tunpa chuya qara niraq, tunpa chuya qara niraq
🏋🏽‍♂	sayaynin jatarichiy, tata, tata sayayninkunata jatarichichkan, tata sayayninkunata jatarichichkan: tunpa qara niraq, tunpa qara niraq
🏋🏾‍♂	sayaynin jatarichiy, tata, tata sayayninkunata jatarichichkan, tata sayayninkunata jatarichichkan: tunpa yana qara niraq, tunpa yana qara niraq
🏋🏿‍♂	sayaynin jatarichiy, tata, tata sayayninkunata jatarichichkan, tata sayayninkunata jatarichichkan: yana qara niraq, yana qara niraq
🏋‍♀	sayaynin jatarichiy, warmi, warmi sayayninkunata jatarichichkan
🏋🏻‍♀	chuya qara niraq, sayaynin jatarichiy, warmi, warmi sayayninkunata jatarichichkan, warmi sayayninkunata jatarichichkan: chuya qara niraq
🏋🏼‍♀	sayaynin jatarichiy, tunpa chuya qara niraq, warmi, warmi sayayninkunata jatarichichkan, warmi sayayninkunata jatarichichkan: tunpa chuya qara niraq
🏋🏽‍♀	sayaynin jatarichiy, tunpa qara niraq, warmi, warmi sayayninkunata jatarichichkan, warmi sayayninkunata jatarichichkan: tunpa qara niraq
🏋🏾‍♀	sayaynin jatarichiy, tunpa yana qara niraq, warmi, warmi sayayninkunata jatarichichkan, warmi sayayninkunata jatarichichkan: tunpa yana qara niraq
🏋🏿‍♀	sayaynin jatarichiy, warmi, warmi sayayninkunata jatarichichkan, warmi sayayninkunata jatarichichkan: yana qara niraq, yana qara niraq
🚴	bicycle, pusachkan, pusay, runa bicicletapi
🚴🏻	bicycle, chuya qara niraq, pusachkan, pusay, runa bicicletapi, runa bicicletapi: chuya qara niraq
🚴🏼	bicycle, pusachkan, pusay, runa bicicletapi, runa bicicletapi: tunpa chuya qara niraq, tunpa chuya qara niraq
🚴🏽	bicycle, pusachkan, pusay, runa bicicletapi, runa bicicletapi: tunpa qara niraq, tunpa qara niraq
🚴🏾	bicycle, pusachkan, pusay, runa bicicletapi, runa bicicletapi: tunpa yana qara niraq, tunpa yana qara niraq
🚴🏿	bicycle, pusachkan, pusay, runa bicicletapi, runa bicicletapi: yana qara niraq, yana qara niraq
🚴‍♂	bicicleta, pusachkan, pusay, tata, tata bicicletapi
🚴🏻‍♂	bicicleta, chuya qara niraq, pusachkan, pusay, tata, tata bicicletapi, tata bicicletapi: chuya qara niraq
🚴🏼‍♂	bicicleta, pusachkan, pusay, tata, tata bicicletapi, tata bicicletapi: tunpa chuya qara niraq, tunpa chuya qara niraq
🚴🏽‍♂	bicicleta, pusachkan, pusay, tata, tata bicicletapi, tata bicicletapi: tunpa qara niraq, tunpa qara niraq
🚴🏾‍♂	bicicleta, pusachkan, pusay, tata, tata bicicletapi, tata bicicletapi: tunpa yana qara niraq, tunpa yana qara niraq
🚴🏿‍♂	bicicleta, pusachkan, pusay, tata, tata bicicletapi, tata bicicletapi: yana qara niraq, yana qara niraq
🚴‍♀	bicicleta, pusachkan, pusay, warmi, warmi bicicletapi
🚴🏻‍♀	bicicleta, chuya qara niraq, pusachkan, pusay, warmi, warmi bicicletapi, warmi bicicletapi: chuya qara niraq
🚴🏼‍♀	bicicleta, pusachkan, pusay, tunpa chuya qara niraq, warmi, warmi bicicletapi, warmi bicicletapi: tunpa chuya qara niraq
🚴🏽‍♀	bicicleta, pusachkan, pusay, tunpa qara niraq, warmi, warmi bicicletapi, warmi bicicletapi: tunpa qara niraq
🚴🏾‍♀	bicicleta, pusachkan, pusay, tunpa yana qara niraq, warmi, warmi bicicletapi, warmi bicicletapi: tunpa yana qara niraq
🚴🏿‍♀	bicicleta, pusachkan, pusay, warmi, warmi bicicletapi, warmi bicicletapi: yana qara niraq, yana qara niraq
🚵	bicicleta, pusachkan, pusay, runa urqu bicicletapi, urqu
🚵🏻	bicicleta, chuya qara niraq, pusachkan, pusay, runa urqu bicicletapi, runa urqu bicicletapi: chuya qara niraq, urqu
🚵🏼	bicicleta, pusachkan, pusay, runa urqu bicicletapi, runa urqu bicicletapi: tunpa chuya qara niraq, tunpa chuya qara niraq, urqu
🚵🏽	bicicleta, pusachkan, pusay, runa urqu bicicletapi, runa urqu bicicletapi: tunpa qara niraq, tunpa qara niraq, urqu
🚵🏾	bicicleta, pusachkan, pusay, runa urqu bicicletapi, runa urqu bicicletapi: tunpa yana qara niraq, tunpa yana qara niraq, urqu
🚵🏿	bicicleta, pusachkan, pusay, runa urqu bicicletapi, runa urqu bicicletapi: yana qara niraq, urqu, yana qara niraq
🚵‍♂	bicicleta, pusachkan, pusay, tata, tata urqu bicicletapi, urqu
🚵🏻‍♂	bicicleta, chuya qara niraq, pusachkan, pusay, tata, tata urqu bicicletapi, tata urqu bicicletapi: chuya qara niraq, urqu
🚵🏼‍♂	bicicleta, pusachkan, pusay, tata, tata urqu bicicletapi, tata urqu bicicletapi: tunpa chuya qara niraq, tunpa chuya qara niraq, urqu
🚵🏽‍♂	bicicleta, pusachkan, pusay, tata, tata urqu bicicletapi, tata urqu bicicletapi: tunpa qara niraq, tunpa qara niraq, urqu
🚵🏾‍♂	bicicleta, pusachkan, pusay, tata, tata urqu bicicletapi, tata urqu bicicletapi: tunpa yana qara niraq, tunpa yana qara niraq, urqu
🚵🏿‍♂	bicicleta, pusachkan, pusay, tata, tata urqu bicicletapi, tata urqu bicicletapi: yana qara niraq, urqu, yana qara niraq
🚵‍♀	bicicleta, pusachkan, pusay, urqu, warmi, warmi urqu bicicletapi
🚵🏻‍♀	bicicleta, chuya qara niraq, pusachkan, pusay, urqu, warmi, warmi urqu bicicletapi, warmi urqu bicicletapi: chuya qara niraq
🚵🏼‍♀	bicicleta, pusachkan, pusay, tunpa chuya qara niraq, urqu, warmi, warmi urqu bicicletapi, warmi urqu bicicletapi: tunpa chuya qara niraq
🚵🏽‍♀	bicicleta, pusachkan, pusay, tunpa qara niraq, urqu, warmi, warmi urqu bicicletapi, warmi urqu bicicletapi: tunpa qara niraq
🚵🏾‍♀	bicicleta, pusachkan, pusay, tunpa yana qara niraq, urqu, warmi, warmi urqu bicicletapi, warmi urqu bicicletapi: tunpa yana qara niraq
🚵🏿‍♀	bicicleta, pusachkan, pusay, urqu, warmi, warmi urqu bicicletapi, warmi urqu bicicletapi: yana qara niraq, yana qara niraq
🤸	gimnasia, muyuy, runa gimnasia ruwachkan
🤸🏻	chuya qara niraq, gimnasia, muyuy, runa gimnasia ruwachkan, runa gimnasia ruwachkan: chuya qara niraq
🤸🏼	gimnasia, muyuy, runa gimnasia ruwachkan, runa gimnasia ruwachkan: tunpa chuya qara niraq, tunpa chuya qara niraq
🤸🏽	gimnasia, muyuy, runa gimnasia ruwachkan, runa gimnasia ruwachkan: tunpa qara niraq, tunpa qara niraq
🤸🏾	gimnasia, muyuy, runa gimnasia ruwachkan, runa gimnasia ruwachkan: tunpa yana qara niraq, tunpa yana qara niraq
🤸🏿	gimnasia, muyuy, runa gimnasia ruwachkan, runa gimnasia ruwachkan: yana qara niraq, yana qara niraq
🤸‍♂	gimnasia, muyuy, tata, tata gimnasia ruwachkan
🤸🏻‍♂	chuya qara niraq, gimnasia, muyuy, tata, tata gimnasia ruwachkan, tata gimnasia ruwachkan: chuya qara niraq
🤸🏼‍♂	gimnasia, muyuy, tata, tata gimnasia ruwachkan, tata gimnasia ruwachkan: tunpa chuya qara niraq, tunpa chuya qara niraq
🤸🏽‍♂	gimnasia, muyuy, tata, tata gimnasia ruwachkan, tata gimnasia ruwachkan: tunpa qara niraq, tunpa qara niraq
🤸🏾‍♂	gimnasia, muyuy, tata, tata gimnasia ruwachkan, tata gimnasia ruwachkan: tunpa yana qara niraq, tunpa yana qara niraq
🤸🏿‍♂	gimnasia, muyuy, tata, tata gimnasia ruwachkan, tata gimnasia ruwachkan: yana qara niraq, yana qara niraq
🤸‍♀	gimnasia, muyuy, warmi, warmi gimnasia ruwachkan
🤸🏻‍♀	chuya qara niraq, gimnasia, muyuy, warmi, warmi gimnasia ruwachkan, warmi gimnasia ruwachkan: chuya qara niraq
🤸🏼‍♀	gimnasia, muyuy, tunpa chuya qara niraq, warmi, warmi gimnasia ruwachkan, warmi gimnasia ruwachkan: tunpa chuya qara niraq
🤸🏽‍♀	gimnasia, muyuy, tunpa qara niraq, warmi, warmi gimnasia ruwachkan, warmi gimnasia ruwachkan: tunpa qara niraq
🤸🏾‍♀	gimnasia, muyuy, tunpa yana qara niraq, warmi, warmi gimnasia ruwachkan, warmi gimnasia ruwachkan: tunpa yana qara niraq
🤸🏿‍♀	gimnasia, muyuy, warmi, warmi gimnasia ruwachkan, warmi gimnasia ruwachkan: yana qara niraq, yana qara niraq
🤼	maqanakuq, maqanakuq runa, maqanakuy
🤼‍♂	maqanakuq tata, maqanakuy, runakuna
🤼‍♀	maqanakuq warmi, maqanakuy, warmi
🤽	polo, runa water polo pukllachkan, water
🤽🏻	chuya qara niraq, polo, runa water polo pukllachkan, runa water polo pukllachkan: chuya qara niraq, water
🤽🏼	polo, runa water polo pukllachkan, runa water polo pukllachkan: tunpa chuya qara niraq, tunpa chuya qara niraq, water
🤽🏽	polo, runa water polo pukllachkan, runa water polo pukllachkan: tunpa qara niraq, tunpa qara niraq, water
🤽🏾	polo, runa water polo pukllachkan, runa water polo pukllachkan: tunpa yana qara niraq, tunpa yana qara niraq, water
🤽🏿	polo, runa water polo pukllachkan, runa water polo pukllachkan: yana qara niraq, water, yana qara niraq
🤽‍♂	tata, tata Water polo pukllachkan, water polo
🤽🏻‍♂	chuya qara niraq, tata, tata Water polo pukllachkan, tata Water polo pukllachkan: chuya qara niraq, water polo
🤽🏼‍♂	tata, tata Water polo pukllachkan, tata Water polo pukllachkan: tunpa chuya qara niraq, tunpa chuya qara niraq, water polo
🤽🏽‍♂	tata, tata Water polo pukllachkan, tata Water polo pukllachkan: tunpa qara niraq, tunpa qara niraq, water polo
🤽🏾‍♂	tata, tata Water polo pukllachkan, tata Water polo pukllachkan: tunpa yana qara niraq, tunpa yana qara niraq, water polo
🤽🏿‍♂	tata, tata Water polo pukllachkan, tata Water polo pukllachkan: yana qara niraq, water polo, yana qara niraq
🤽‍♀	warmi, warmi water polo pukllachkan, water polo
🤽🏻‍♀	chuya qara niraq, warmi, warmi water polo pukllachkan, warmi water polo pukllachkan: chuya qara niraq, water polo
🤽🏼‍♀	tunpa chuya qara niraq, warmi, warmi water polo pukllachkan, warmi water polo pukllachkan: tunpa chuya qara niraq, water polo
🤽🏽‍♀	tunpa qara niraq, warmi, warmi water polo pukllachkan, warmi water polo pukllachkan: tunpa qara niraq, water polo
🤽🏾‍♀	tunpa yana qara niraq, warmi, warmi water polo pukllachkan, warmi water polo pukllachkan: tunpa yana qara niraq, water polo
🤽🏿‍♀	warmi, warmi water polo pukllachkan, warmi water polo pukllachkan: yana qara niraq, water polo, yana qara niraq
🤾	balonmano, p’ulu, runa balonmano pukllachkan
🤾🏻	balonmano, chuya qara niraq, p’ulu, runa balonmano pukllachkan, runa balonmano pukllachkan: chuya qara niraq
🤾🏼	balonmano, p’ulu, runa balonmano pukllachkan, runa balonmano pukllachkan: tunpa chuya qara niraq, tunpa chuya qara niraq
🤾🏽	balonmano, p’ulu, runa balonmano pukllachkan, runa balonmano pukllachkan: tunpa qara niraq, tunpa qara niraq
🤾🏾	balonmano, p’ulu, runa balonmano pukllachkan, runa balonmano pukllachkan: tunpa yana qara niraq, tunpa yana qara niraq
🤾🏿	balonmano, p’ulu, runa balonmano pukllachkan, runa balonmano pukllachkan: yana qara niraq, yana qara niraq
🤾‍♂	balonmano, tata, tata balonmano pukllachkan
🤾🏻‍♂	balonmano, chuya qara niraq, tata, tata balonmano pukllachkan, tata balonmano pukllachkan: chuya qara niraq
🤾🏼‍♂	balonmano, tata, tata balonmano pukllachkan, tata balonmano pukllachkan: tunpa chuya qara niraq, tunpa chuya qara niraq
🤾🏽‍♂	balonmano, tata, tata balonmano pukllachkan, tata balonmano pukllachkan: tunpa qara niraq, tunpa qara niraq
🤾🏾‍♂	balonmano, tata, tata balonmano pukllachkan, tata balonmano pukllachkan: tunpa yana qara niraq, tunpa yana qara niraq
🤾🏿‍♂	balonmano, tata, tata balonmano pukllachkan, tata balonmano pukllachkan: yana qara niraq, yana qara niraq
🤾‍♀	balonmano, warmi, warmi balonmano pukllachkan
🤾🏻‍♀	balonmano, chuya qara niraq, warmi, warmi balonmano pukllachkan, warmi balonmano pukllachkan: chuya qara niraq
🤾🏼‍♀	balonmano, tunpa chuya qara niraq, warmi, warmi balonmano pukllachkan, warmi balonmano pukllachkan: tunpa chuya qara niraq
🤾🏽‍♀	balonmano, tunpa qara niraq, warmi, warmi balonmano pukllachkan, warmi balonmano pukllachkan: tunpa qara niraq
🤾🏾‍♀	balonmano, tunpa yana qara niraq, warmi, warmi balonmano pukllachkan, warmi balonmano pukllachkan: tunpa yana qara niraq
🤾🏿‍♀	balonmano, warmi, warmi balonmano pukllachkan, warmi balonmano pukllachkan: yana qara niraq, yana qara niraq
🤹	achka ruwanakuna, allin takyay, malabares ruway, runa malabares ruwachkan, yachay
🤹🏻	achka ruwanakuna, allin takyay, chuya qara niraq, malabares ruway, runa malabares ruwachkan, runa malabares ruwachkan: chuya qara niraq, yachay
🤹🏼	achka ruwanakuna, allin takyay, malabares ruway, runa malabares ruwachkan, runa malabares ruwachkan: tunpa chuya qara niraq, tunpa chuya qara niraq, yachay
🤹🏽	achka ruwanakuna, allin takyay, malabares ruway, runa malabares ruwachkan, runa malabares ruwachkan: tunpa qara niraq, tunpa qara niraq, yachay
🤹🏾	achka ruwanakuna, allin takyay, malabares ruway, runa malabares ruwachkan, runa malabares ruwachkan: tunpa yana qara niraq, tunpa yana qara niraq, yachay
🤹🏿	achka ruwanakuna, allin takyay, malabares ruway, runa malabares ruwachkan, runa malabares ruwachkan: yana qara niraq, yachay, yana qara niraq
🤹‍♂	achka ruwanakuna, malabares ruwachkan, runa, tata malabares ruwachkan
🤹🏻‍♂	achka ruwanakuna, chuya qara niraq, malabares ruwachkan, runa, tata malabares ruwachkan, tata malabares ruwachkan: chuya qara niraq
🤹🏼‍♂	achka ruwanakuna, malabares ruwachkan, runa, tata malabares ruwachkan, tata malabares ruwachkan: tunpa chuya qara niraq, tunpa chuya qara niraq
🤹🏽‍♂	achka ruwanakuna, malabares ruwachkan, runa, tata malabares ruwachkan, tata malabares ruwachkan: tunpa qara niraq, tunpa qara niraq
🤹🏾‍♂	achka ruwanakuna, malabares ruwachkan, runa, tata malabares ruwachkan, tata malabares ruwachkan: tunpa yana qara niraq, tunpa yana qara niraq
🤹🏿‍♂	achka ruwanakuna, malabares ruwachkan, runa, tata malabares ruwachkan, tata malabares ruwachkan: yana qara niraq, yana qara niraq
🤹‍♀	achka ruwanakuna, malabares ruwachkan, warmi, warmi malabares ruwachkan
🤹🏻‍♀	achka ruwanakuna, chuya qara niraq, malabares ruwachkan, warmi, warmi malabares ruwachkan, warmi malabares ruwachkan: chuya qara niraq
🤹🏼‍♀	achka ruwanakuna, malabares ruwachkan, tunpa chuya qara niraq, warmi, warmi malabares ruwachkan, warmi malabares ruwachkan: tunpa chuya qara niraq
🤹🏽‍♀	achka ruwanakuna, malabares ruwachkan, tunpa qara niraq, warmi, warmi malabares ruwachkan, warmi malabares ruwachkan: tunpa qara niraq
🤹🏾‍♀	achka ruwanakuna, malabares ruwachkan, tunpa yana qara niraq, warmi, warmi malabares ruwachkan, warmi malabares ruwachkan: tunpa yana qara niraq
🤹🏿‍♀	achka ruwanakuna, malabares ruwachkan, warmi, warmi malabares ruwachkan, warmi malabares ruwachkan: yana qara niraq, yana qara niraq
🧘	jamut’ay, runa yoga yupipi, yoga
🧘🏻	chuya qara niraq, jamut’ay, runa yoga yupipi, runa yoga yupipi: chuya qara niraq, yoga
🧘🏼	jamut’ay, runa yoga yupipi, runa yoga yupipi: tunpa chuya qara niraq, tunpa chuya qara niraq, yoga
🧘🏽	jamut’ay, runa yoga yupipi, runa yoga yupipi: tunpa qara niraq, tunpa qara niraq, yoga
🧘🏾	jamut’ay, runa yoga yupipi, runa yoga yupipi: tunpa yana qara niraq, tunpa yana qara niraq, yoga
🧘🏿	jamut’ay, runa yoga yupipi, runa yoga yupipi: yana qara niraq, yana qara niraq, yoga
🧘‍♂	jamut’ay, tata yoga yupipi, yoga
🧘🏻‍♂	chuya qara niraq, jamut’ay, tata yoga yupipi, tata yoga yupipi: chuya qara niraq, yoga
🧘🏼‍♂	jamut’ay, tata yoga yupipi, tata yoga yupipi: tunpa chuya qara niraq, tunpa chuya qara niraq, yoga
🧘🏽‍♂	jamut’ay, tata yoga yupipi, tata yoga yupipi: tunpa qara niraq, tunpa qara niraq, yoga
🧘🏾‍♂	jamut’ay, tata yoga yupipi, tata yoga yupipi: tunpa yana qara niraq, tunpa yana qara niraq, yoga
🧘🏿‍♂	jamut’ay, tata yoga yupipi, tata yoga yupipi: yana qara niraq, yana qara niraq, yoga
🧘‍♀	jamut’ay, warmi yoga yupipi, yoga
🧘🏻‍♀	chuya qara niraq, jamut’ay, warmi yoga yupipi, warmi yoga yupipi: chuya qara niraq, yoga
🧘🏼‍♀	jamut’ay, tunpa chuya qara niraq, warmi yoga yupipi, warmi yoga yupipi: tunpa chuya qara niraq, yoga
🧘🏽‍♀	jamut’ay, tunpa qara niraq, warmi yoga yupipi, warmi yoga yupipi: tunpa qara niraq, yoga
🧘🏾‍♀	jamut’ay, tunpa yana qara niraq, warmi yoga yupipi, warmi yoga yupipi: tunpa yana qara niraq, yoga
🧘🏿‍♀	jamut’ay, warmi yoga yupipi, warmi yoga yupipi: yana qara niraq, yana qara niraq, yoga
🛀	armakunapaq, bañera, runa armakuyniyuq
🛀🏻	armakunapaq, bañera, chuya qara niraq, runa armakuyniyuq, runa armakuyniyuq: chuya qara niraq
🛀🏼	armakunapaq, bañera, runa armakuyniyuq, runa armakuyniyuq: tunpa chuya qara niraq, tunpa chuya qara niraq
🛀🏽	armakunapaq, bañera, runa armakuyniyuq, runa armakuyniyuq: tunpa qara niraq, tunpa qara niraq
🛀🏾	armakunapaq, bañera, runa armakuyniyuq, runa armakuyniyuq: tunpa yana qara niraq, tunpa yana qara niraq
🛀🏿	armakunapaq, bañera, runa armakuyniyuq, runa armakuyniyuq: yana qara niraq, yana qara niraq
🛌	puñuy, runa puñunapi, tampuwasi
🛌🏻	chuya qara niraq, puñuy, runa puñunapi, runa puñunapi: chuya qara niraq, tampuwasi
🛌🏼	puñuy, runa puñunapi, runa puñunapi: tunpa chuya qara niraq, tampuwasi, tunpa chuya qara niraq
🛌🏽	puñuy, runa puñunapi, runa puñunapi: tunpa qara niraq, tampuwasi, tunpa qara niraq
🛌🏾	puñuy, runa puñunapi, runa puñunapi: tunpa yana qara niraq, tampuwasi, tunpa yana qara niraq
🛌🏿	puñuy, runa puñunapi, runa puñunapi: yana qara niraq, tampuwasi, yana qara niraq
🧑‍🤝‍🧑	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan
🧑🏻‍🤝‍🧑🏻	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: chuya qara niraq
🧑🏻‍🤝‍🧑🏼	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: chuya qara niraq, tunpa chuya qara niraq, tunpa chuya qara niraq
🧑🏻‍🤝‍🧑🏽	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: chuya qara niraq, tunpa qara niraq, tunpa qara niraq
🧑🏻‍🤝‍🧑🏾	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: chuya qara niraq, tunpa yana qara niraq, tunpa yana qara niraq
🧑🏻‍🤝‍🧑🏿	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: chuya qara niraq, yana qara niraq, yana qara niraq
🧑🏼‍🤝‍🧑🏻	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa chuya qara niraq, chuya qara niraq, tunpa chuya qara niraq
🧑🏼‍🤝‍🧑🏼	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa chuya qara niraq, tunpa chuya qara niraq
🧑🏼‍🤝‍🧑🏽	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa chuya qara niraq, tunpa qara niraq, tunpa chuya qara niraq, tunpa qara niraq
🧑🏼‍🤝‍🧑🏾	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa chuya qara niraq, tunpa yana qara niraq, tunpa chuya qara niraq, tunpa yana qara niraq
🧑🏼‍🤝‍🧑🏿	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa chuya qara niraq, yana qara niraq, tunpa chuya qara niraq, yana qara niraq
🧑🏽‍🤝‍🧑🏻	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa qara niraq, chuya qara niraq, tunpa qara niraq
🧑🏽‍🤝‍🧑🏼	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa qara niraq, tunpa chuya qara niraq, tunpa chuya qara niraq, tunpa qara niraq
🧑🏽‍🤝‍🧑🏽	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa qara niraq, tunpa qara niraq
🧑🏽‍🤝‍🧑🏾	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa qara niraq, tunpa yana qara niraq, tunpa qara niraq, tunpa yana qara niraq
🧑🏽‍🤝‍🧑🏿	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa qara niraq, yana qara niraq, tunpa qara niraq, yana qara niraq
🧑🏾‍🤝‍🧑🏻	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa yana qara niraq, chuya qara niraq, tunpa yana qara niraq
🧑🏾‍🤝‍🧑🏼	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa yana qara niraq, tunpa chuya qara niraq, tunpa chuya qara niraq, tunpa yana qara niraq
🧑🏾‍🤝‍🧑🏽	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa yana qara niraq, tunpa qara niraq, tunpa qara niraq, tunpa yana qara niraq
🧑🏾‍🤝‍🧑🏾	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa yana qara niraq, tunpa yana qara niraq
🧑🏾‍🤝‍🧑🏿	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: tunpa yana qara niraq, yana qara niraq, tunpa yana qara niraq, yana qara niraq
🧑🏿‍🤝‍🧑🏻	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: yana qara niraq, chuya qara niraq, yana qara niraq
🧑🏿‍🤝‍🧑🏼	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: yana qara niraq, tunpa chuya qara niraq, tunpa chuya qara niraq, yana qara niraq
🧑🏿‍🤝‍🧑🏽	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: yana qara niraq, tunpa qara niraq, tunpa qara niraq, yana qara niraq
🧑🏿‍🤝‍🧑🏾	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: yana qara niraq, tunpa yana qara niraq, tunpa yana qara niraq, yana qara niraq
🧑🏿‍🤝‍🧑🏿	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan, runakuna iskay makikunawan: yana qara niraq, yana qara niraq
👭	iskay makikunawan, maki, pitu, warmi, warmi iskay makikunawan
👭🏻	chuya qara niraq, iskay makikunawan, maki, pitu, warmi, warmi iskay makikunawan, warmi iskay makikunawan: chuya qara niraq
👩🏻‍🤝‍👩🏼	chuya qara niraq, iskay makikunawan, maki, pitu, tunpa chuya qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: chuya qara niraq, tunpa chuya qara niraq
👩🏻‍🤝‍👩🏽	chuya qara niraq, iskay makikunawan, maki, pitu, tunpa qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: chuya qara niraq, tunpa qara niraq
👩🏻‍🤝‍👩🏾	chuya qara niraq, iskay makikunawan, maki, pitu, tunpa yana qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: chuya qara niraq, tunpa yana qara niraq
👩🏻‍🤝‍👩🏿	chuya qara niraq, iskay makikunawan, maki, pitu, warmi, warmi iskay makikunawan, warmi iskay makikunawan: chuya qara niraq, yana qara niraq, yana qara niraq
👩🏼‍🤝‍👩🏻	chuya qara niraq, iskay makikunawan, maki, pitu, tunpa chuya qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa chuya qara niraq, chuya qara niraq
👭🏼	iskay makikunawan, maki, pitu, tunpa chuya qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa chuya qara niraq
👩🏼‍🤝‍👩🏽	iskay makikunawan, maki, pitu, tunpa chuya qara niraq, tunpa qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa chuya qara niraq, tunpa qara niraq
