🦵🏻	բաց գույնի մաշկ, հարվածել, ոտք, ոտք՝ բաց գույնի մաշկ, վերջույթ
🚣🏼	թիանավակ, թիանավակ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, նավակ, փոխադրամիջոց
🚣🏽	թիանավակ, թիանավակ՝ միջին գույնի մաշկ, միջին գույնի մաշկ, նավակ, փոխադրամիջոց
🚣🏾	թիանավակ, թիանավակ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, նավակ, փոխադրամիջոց
🚣🏿	թիանավակ, թիանավակ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, նավակ, փոխադրամիջոց
🚣🏻‍♂	բաց գույնի մաշկ, թիանավակ, թիավարող տղամարդ, թիավարող տղամարդ՝ բաց գույնի մաշկ, մակույկ, նավակ, տղամարդ
🚣🏼‍♂	թիանավակ, թիավարող տղամարդ, թիավարող տղամարդ՝ միջին բաց գույնի մաշկ, մակույկ, միջին բաց գույնի մաշկ, նավակ, տղամարդ
🚣🏽‍♂	թիանավակ, թիավարող տղամարդ, թիավարող տղամարդ՝ միջին գույնի մաշկ, մակույկ, միջին գույնի մաշկ, նավակ, տղամարդ
🚣🏾‍♂	թիանավակ, թիավարող տղամարդ, թիավարող տղամարդ՝ միջին մուգ գույնի մաշկ, մակույկ, միջին մուգ գույնի մաշկ, նավակ, տղամարդ
🚣🏿‍♂	թիանավակ, թիավարող տղամարդ, թիավարող տղամարդ՝ մուգ գույնի մաշկ, մակույկ, մուգ գույնի մաշկ, նավակ, տղամարդ
🚣🏻‍♀	բաց գույնի մաշկ, թիանավակ, թիավարող կին, թիավարող կին՝ բաց գույնի մաշկ, կին, մակույկ, նավակ
🚣🏼‍♀	թիանավակ, թիավարող կին, թիավարող կին՝ միջին բաց գույնի մաշկ, կին, մակույկ, միջին բաց գույնի մաշկ, նավակ
🚣🏽‍♀	թիանավակ, թիավարող կին, թիավարող կին՝ միջին գույնի մաշկ, կին, մակույկ, միջին գույնի մաշկ, նավակ
🚣🏾‍♀	թիանավակ, թիավարող կին, թիավարող կին՝ միջին մուգ գույնի մաշկ, կին, մակույկ, միջին մուգ գույնի մաշկ, նավակ
🚣🏿‍♀	թիանավակ, թիավարող կին, թիավարող կին՝ մուգ գույնի մաշկ, կին, մակույկ, մուգ գույնի մաշկ, նավակ
🏊🏻	բաց գույնի մաշկ, լողալ, լողորդ, լողորդ՝ բաց գույնի մաշկ
🏊🏼	լողալ, լողորդ, լողորդ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🏊🏽	լողալ, լողորդ, լողորդ՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🏊🏾	լողալ, լողորդ, լողորդ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🏊🏿	լողալ, լողորդ, լողորդ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
🏊🏻‍♂	բաց գույնի մաշկ, լող, լողորդ, տղամարդ, տղամարդ լողորդ՝ բաց գույնի մաշկ
🏊🏼‍♂	լող, լողորդ, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ լողորդ՝ միջին բաց գույնի մաշկ
🏊🏽‍♂	լող, լողորդ, միջին գույնի մաշկ, տղամարդ, տղամարդ լողորդ՝ միջին գույնի մաշկ
🏊🏾‍♂	լող, լողորդ, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ լողորդ՝ միջին մուգ գույնի մաշկ
🏊🏿‍♂	լող, լողորդ, մուգ գույնի մաշկ, տղամարդ, տղամարդ լողորդ՝ մուգ գույնի մաշկ
🏊🏻‍♀	բաց գույնի մաշկ, լող, լողորդ, լողորդուհի, լողորդուհի՝ բաց գույնի մաշկ, կին
🏊🏼‍♀	լող, լողորդ, լողորդուհի, լողորդուհի՝ միջին բաց գույնի մաշկ, կին, միջին բաց գույնի մաշկ
🏊🏽‍♀	լող, լողորդ, լողորդուհի, լողորդուհի՝ միջին գույնի մաշկ, կին, միջին գույնի մաշկ
🏊🏾‍♀	լող, լողորդ, լողորդուհի, լողորդուհի՝ միջին մուգ գույնի մաշկ, կին, միջին մուգ գույնի մաշկ
🏊🏿‍♀	լող, լողորդ, լողորդուհի, լողորդուհի՝ մուգ գույնի մաշկ, կին, մուգ գույնի մաշկ
⛹🏻	բաց գույնի մաշկ, գնդակ, գնդակով մարդ, գնդակով մարդ՝ բաց գույնի մաշկ
⛹🏼	գնդակ, գնդակով մարդ, գնդակով մարդ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
⛹🏽	գնդակ, գնդակով մարդ, գնդակով մարդ՝ միջին գույնի մաշկ, միջին գույնի մաշկ
⛹🏾	գնդակ, գնդակով մարդ, գնդակով մարդ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
⛹🏿	գնդակ, գնդակով մարդ, գնդակով մարդ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
⛹🏻‍♂	բաց գույնի մաշկ, գնդակ, գնդակով տղամարդ, գնդակով տղամարդ՝ բաց գույնի մաշկ, մարդ, տղամարդ
⛹🏼‍♂	գնդակ, գնդակով տղամարդ, գնդակով տղամարդ՝ միջին բաց գույնի մաշկ, մարդ, միջին բաց գույնի մաշկ, տղամարդ
⛹🏽‍♂	գնդակ, գնդակով տղամարդ, գնդակով տղամարդ՝ միջին գույնի մաշկ, մարդ, միջին գույնի մաշկ, տղամարդ
⛹🏾‍♂	գնդակ, գնդակով տղամարդ, գնդակով տղամարդ՝ միջին մուգ գույնի մաշկ, մարդ, միջին մուգ գույնի մաշկ, տղամարդ
⛹🏿‍♂	գնդակ, գնդակով տղամարդ, գնդակով տղամարդ՝ մուգ գույնի մաշկ, մարդ, մուգ գույնի մաշկ, տղամարդ
⛹🏻‍♀	բաց գույնի մաշկ, գնդակ, գնդակով կին, գնդակով կին՝ բաց գույնի մաշկ, կին
⛹🏼‍♀	գնդակ, գնդակով կին, գնդակով կին՝ միջին բաց գույնի մաշկ, կին, միջին բաց գույնի մաշկ
⛹🏽‍♀	գնդակ, գնդակով կին, գնդակով կին՝ միջին գույնի մաշկ, կին, միջին գույնի մաշկ
⛹🏾‍♀	գնդակ, գնդակով կին, գնդակով կին՝ միջին մուգ գույնի մաշկ, կին, միջին մուգ գույնի մաշկ
⛹🏿‍♀	գնդակ, գնդակով կին, գնդակով կին՝ մուգ գույնի մաշկ, կին, մուգ գույնի մաշկ
🏋🏻	բաց գույնի մաշկ, ծանրորդ, ծանրորդ՝ բաց գույնի մաշկ, ծանրություն
🏋🏼	ծանրորդ, ծանրորդ՝ միջին բաց գույնի մաշկ, ծանրություն, միջին բաց գույնի մաշկ
🏋🏽	ծանրորդ, ծանրորդ՝ միջին գույնի մաշկ, ծանրություն, միջին գույնի մաշկ
🏋🏾	ծանրորդ, ծանրորդ՝ միջին մուգ գույնի մաշկ, ծանրություն, միջին մուգ գույնի մաշկ
🏋🏿	ծանրորդ, ծանրորդ՝ մուգ գույնի մաշկ, ծանրություն, մուգ գույնի մաշկ
🏋🏻‍♂	բաց գույնի մաշկ, ծանրաձող, մարդ, տղամարդ, տղամարդ ծանրորդ, տղամարդ ծանրորդ՝ բաց գույնի մաշկ
🏋🏼‍♂	ծանրաձող, մարդ, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ ծանրորդ, տղամարդ ծանրորդ՝ միջին բաց գույնի մաշկ
🏋🏽‍♂	ծանրաձող, մարդ, միջին գույնի մաշկ, տղամարդ, տղամարդ ծանրորդ, տղամարդ ծանրորդ՝ միջին գույնի մաշկ
🏋🏾‍♂	ծանրաձող, մարդ, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ ծանրորդ, տղամարդ ծանրորդ՝ միջին մուգ գույնի մաշկ
🏋🏿‍♂	ծանրաձող, մարդ, մուգ գույնի մաշկ, տղամարդ, տղամարդ ծանրորդ, տղամարդ ծանրորդ՝ մուգ գույնի մաշկ
🏋🏻‍♀	բաց գույնի մաշկ, ծանրաձող, ծանրորդուհի, ծանրորդուհի՝ բաց գույնի մաշկ, ծանրություն, կին
🏋🏼‍♀	ծանրաձող, ծանրորդուհի, ծանրորդուհի՝ միջին բաց գույնի մաշկ, ծանրություն, կին, միջին բաց գույնի մաշկ
🏋🏽‍♀	ծանրաձող, ծանրորդուհի, ծանրորդուհի՝ միջին գույնի մաշկ, ծանրություն, կին, միջին գույնի մաշկ
🏋🏾‍♀	ծանրաձող, ծանրորդուհի, ծանրորդուհի՝ միջին մուգ գույնի մաշկ, ծանրություն, կին, միջին մուգ գույնի մաշկ
🏋🏿‍♀	ծանրաձող, ծանրորդուհի, ծանրորդուհի՝ մուգ գույնի մաշկ, ծանրություն, կին, մուգ գույնի մաշկ
🚴🏻	բաց գույնի մաշկ, հեծանիվ, հեծանվորդ, հեծանվորդ՝ բաց գույնի մաշկ
🚴🏼	հեծանիվ, հեծանվորդ, հեծանվորդ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🚴🏽	հեծանիվ, հեծանվորդ, հեծանվորդ՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🚴🏾	հեծանիվ, հեծանվորդ, հեծանվորդ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🚴🏿	հեծանիվ, հեծանվորդ, հեծանվորդ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
🚴🏻‍♂	բաց գույնի մաշկ, հեծանիվ, մարդ, տղամարդ, տղամարդ հեծանվորդ, տղամարդ հեծանվորդ՝ բաց գույնի մաշկ
🚴🏼‍♂	հեծանիվ, մարդ, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ հեծանվորդ, տղամարդ հեծանվորդ՝ միջին բաց գույնի մաշկ
🚴🏽‍♂	հեծանիվ, մարդ, միջին գույնի մաշկ, տղամարդ, տղամարդ հեծանվորդ, տղամարդ հեծանվորդ՝ միջին գույնի մաշկ
🚴🏾‍♂	հեծանիվ, մարդ, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ հեծանվորդ, տղամարդ հեծանվորդ՝ միջին մուգ գույնի մաշկ
🚴🏿‍♂	հեծանիվ, մարդ, մուգ գույնի մաշկ, տղամարդ, տղամարդ հեծանվորդ, տղամարդ հեծանվորդ՝ մուգ գույնի մաշկ
🚴🏻‍♀	բաց գույնի մաշկ, կին, հեծանիվ, հեծանվորդուհի, հեծանվորդուհի՝ բաց գույնի մաշկ
🚴🏼‍♀	կին, հեծանիվ, հեծանվորդուհի, հեծանվորդուհի՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🚴🏽‍♀	կին, հեծանիվ, հեծանվորդուհի, հեծանվորդուհի՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🚴🏾‍♀	կին, հեծանիվ, հեծանվորդուհի, հեծանվորդուհի՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🚴🏿‍♀	կին, հեծանիվ, հեծանվորդուհի, հեծանվորդուհի՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
🚵🏻	բաց գույնի մաշկ, լեռ, լեռնահեծանվորդ, լեռնահեծանվորդ՝ բաց գույնի մաշկ, հեծանիվ, հեծանվորդ
🚵🏼	լեռ, լեռնահեծանվորդ, լեռնահեծանվորդ՝ միջին բաց գույնի մաշկ, հեծանիվ, հեծանվորդ, միջին բաց գույնի մաշկ
🚵🏽	լեռ, լեռնահեծանվորդ, լեռնահեծանվորդ՝ միջին գույնի մաշկ, հեծանիվ, հեծանվորդ, միջին գույնի մաշկ
